original_date,product_code,pk,data_type,event_date,temp_min_c,temp_max_c,rainfall_mm,evaporation_mm,sunshine_hrs,wind_gust_direction,wind_gust_speed_max_kmh,time_wind_gust_max_speed_kmh,time_0900_temp_c,time_0900_humidity_pct,time_0900_cloud_amount_oktas,time_0900_wind_direction,time_0900_wind_speed_kmh,time_0900_pressure_msl_hpa,time_1500_temp_c,time_1500_humidity_pct,time_1500_cloud_amount_oktas,time_1500_wind_direction,time_1500_wind_speed_kmh,time_1500_pressure_msl_hpa
2019-12-30,IDCJDW6051,weather_summary-2019-12-30,weather_summary,2019-12-30,15.6,26.1,0,,12.3,,,,20.6,52,1,SSW,2,1018.7,24.8,44,0,SSW,6,1017.3
2019-12-31,IDCJDW6051,weather_summary-2019-12-31,weather_summary,2019-12-31,15.3,30.6,0,,13.2,,,,23,50,0,NE,2,1017.6,29.6,39,0,SSW,6,1014
2020-01-1,IDCJDW6051,weather_summary-2020-01-01,weather_summary,2020-01-01,16.1,,0,,13.2,,,,27,44,0,,,1013,,,,,,1010.6
2020-01-2,IDCJDW6051,weather_summary-2020-01-02,weather_summary,2020-01-02,,25,,,9.1,,,,,,,,,1013.5,23.5,64,7,SSW,26,1012.7
2020-01-3,IDCJDW6051,weather_summary-2020-01-03,weather_summary,2020-01-03,13.1,23.4,0.8,,11.9,,,,20.5,86,4,SW,20,1019.9,22,47,4,SW,28,1017.2
2020-01-4,IDCJDW6051,weather_summary-2020-01-04,weather_summary,2020-01-04,12.5,27.8,0,,13.2,,,,17.5,59,0,NE,9,1022.1,,,,,,1017.3
2020-01-5,IDCJDW6051,weather_summary-2020-01-05,weather_summary,2020-01-05,14,35.5,0,,13.2,,,,26.5,36,0,NE,6,1014.2,,,,,,1011.3
2020-01-6,IDCJDW6051,weather_summary-2020-01-06,weather_summary,2020-01-06,16.7,34.5,0,,13.3,,,,29,37,0,SW,13,1011.5,33.5,28,0,W,11,1009.5
2020-01-7,IDCJDW6051,weather_summary-2020-01-07,weather_summary,2020-01-07,19.1,33,0,,13,,,,27.5,41,0,SW,35,1007.7,31.5,33,0,W,15,1006.1
2020-01-8,IDCJDW6051,weather_summary-2020-01-08,weather_summary,2020-01-08,17,30.5,0,,13.2,,,,26.5,56,0,S,22,1007.9,28,42,0,S,30,1006.9
2020-01-9,IDCJDW6051,weather_summary-2020-01-09,weather_summary,2020-01-09,17,,0,,12.7,,,,24,53,0,S,19,1013,27,47,0,S,19,1011.2
2020-01-10,IDCJDW6051,weather_summary-2020-01-10,weather_summary,2020-01-10,,33.4,0,,13.1,,,,,,,,,1019.6,,,,,,1016.7
2020-01-11,IDCJDW6051,weather_summary-2020-01-11,weather_summary,2020-01-11,18.2,36.5,0,,13.1,,,,24.6,49,0,SE,11,1017.2,,,,,,1012
2020-01-12,IDCJDW6051,weather_summary-2020-01-12,weather_summary,2020-01-12,19.5,34.1,0,,13.2,,,,29.6,46,0,NE,4,1010.9,,,,,,1010.1
2020-01-13,IDCJDW6051,weather_summary-2020-01-13,weather_summary,2020-01-13,18.9,,0,,13.1,,,,24.6,58,0,SE,2,1013.7,35.5,33,0,SSE,4,1009.4
2020-01-14,IDCJDW6051,weather_summary-2020-01-14,weather_summary,2020-01-14,,36.5,0,,13.1,,,,,,,,,1011.2,,,,,,1008.5
2020-01-15,IDCJDW6051,weather_summary-2020-01-15,weather_summary,2020-01-15,20,34.5,0,,12.4,,,,26,62,2,E,19,1013.7,32.5,50,0,SE,7,1011
2020-01-16,IDCJDW6051,weather_summary-2020-01-16,weather_summary,2020-01-16,20,36.1,0,,12.1,,,,27,63,2,E,22,1012.8,35.5,42,3,SW,13,1009.3
2020-01-17,IDCJDW6051,weather_summary-2020-01-17,weather_summary,2020-01-17,22,29.4,0,,4.9,,,,25.5,81,0,SW,20,1010.2,28,85,5,W,22,1010.1
2020-01-18,IDCJDW6051,weather_summary-2020-01-18,weather_summary,2020-01-18,19.4,33,0,,13.1,,,,23.5,86,1,S,6,1015.1,,,,,,1012.4
2020-01-19,IDCJDW6051,weather_summary-2020-01-19,weather_summary,2020-01-19,16.7,31.5,0,,13,,,,21.5,83,0,S,9,1017.2,,,,,,1013.5
2020-01-20,IDCJDW6051,weather_summary-2020-01-20,weather_summary,2020-01-20,17.5,33.1,0,,13,,,,27,77,0,SE,9,1012.8,31.6,78,0,SW,26,1010.2
2020-01-21,IDCJDW6051,weather_summary-2020-01-21,weather_summary,2020-01-21,,26,0,,8.1,,,,,,,,,1013.6,25.5,84,3,SW,33,1012.2
2020-01-22,IDCJDW6051,weather_summary-2020-01-22,weather_summary,2020-01-22,,25.1,0,,9.1,,,,,,,,,1017.8,24.5,83,5,SW,28,1015.7
